unique_id,ds,cutoff,y,Naive,WindowAverage,RWD,AutoARIMA,AutoETS,SeasonalNaive,SeasWA,Best-Fit,Equal-All,Equal-Best3,InverseMSE,InverseMSE-Best3
store_1,2015-02-02,2015-01-26,29690.0,30008.0,31189.583333333332,29980.48598130841,31384.246530609395,29168.291470960063,31555.0,,31384.246530609395,26183.658188030167,30702.512667189818,30986.221704675238,31164.41803380633
store_1,2015-02-09,2015-01-26,24477.0,30008.0,31189.583333333332,29952.971962616823,23810.633609343233,29168.291470960063,24257.0,,23810.633609343233,24055.21148232192,25745.308360101095,25903.695968222302,24535.91381075917
store_1,2015-02-16,2015-01-26,26902.0,30008.0,31189.583333333332,29925.457943925234,26477.63763317203,29168.291470960063,29040.0,,26477.63763317203,25115.567197341523,28228.643034710694,28073.186214293404,27369.237044107467
store_1,2015-02-23,2015-01-26,25566.0,30008.0,31189.583333333332,29897.943925233645,25328.448397256674,29168.291470960063,25597.0,,25328.448397256674,24455.609589540527,26697.913289405577,26896.443882190546,25836.674245220125
store_1,2015-03-02,2015-01-26,31369.0,30008.0,31189.583333333332,29870.429906542056,31456.522336824477,29168.291470960063,30836.0,,31456.522336824477,26075.546721094273,30486.937935928177,30889.93539798966,31049.802671497124
store_1,2015-03-09,2015-01-26,23767.0,30008.0,31189.583333333332,29842.915887850468,23290.985367040383,29168.291470960063,23115.0,,23290.985367040383,23802.110865597748,25191.42561266681,25435.821692538033,23936.481363654413
store_1,2015-03-16,2015-01-26,27073.0,30008.0,31189.583333333332,29815.40186915888,26926.38379092697,29168.291470960063,28573.0,,26926.38379092697,25097.237209197032,28222.558420629008,28210.28965292269,27559.129215370012
store_1,2015-03-23,2015-01-26,23788.0,30008.0,31189.583333333332,29787.88785046729,23950.890749082937,29168.291470960063,22628.0,,23950.890749082937,23818.950486263373,25249.06074001433,25680.160270376862,24260.779525793212
store_1,2015-03-02,2015-02-23,31369.0,25566.0,28962.833333333332,25499.45945945946,31439.54895947344,27527.188675207584,30836.0,,31439.54895947344,24261.5757753534,29934.245878227004,29878.977795804538,30847.31328367249
store_1,2015-03-09,2015-02-23,23767.0,25566.0,28962.833333333332,25432.91891891892,23276.620788900935,27527.188675207584,23115.0,,23276.620788900935,21982.937388051538,24639.60315470284,24423.186870615285,23735.708244992766
store_1,2015-03-16,2015-02-23,27073.0,25566.0,28962.833333333332,25366.37837837838,26922.715289552485,27527.188675207584,28573.0,,26922.715289552485,23274.016525210252,27674.30132158669,27200.05545727108,27365.39280027492
store_1,2015-03-23,2015-02-23,23788.0,25566.0,28962.833333333332,25299.837837837837,23929.795468978486,27527.188675207584,22628.0,,23929.795468978486,21987.665045051035,24694.994714728688,24658.146320358013,24055.57843269166
store_1,2015-03-30,2015-02-23,33019.0,25566.0,28962.833333333332,25233.297297297297,32424.700053024535,27527.188675207584,30142.0,,32424.700053024535,24265.14562269468,30031.296242744036,30235.34140509492,31338.896158428262
store_1,2015-04-06,2015-02-23,19546.0,25566.0,28962.833333333332,25166.756756756757,19293.16633927529,27527.188675207584,23776.0,,19293.16633927529,21470.27787208185,23532.118338160955,22508.46491470863,21264.167512686974
store_1,2015-04-13,2015-02-23,27563.0,25566.0,28962.833333333332,25100.216216216217,28894.71202985535,27527.188675207584,31411.0,,28894.71202985535,23923.135750658927,29277.633568354307,28664.57814371933,29302.809496629194
store_1,2015-04-20,2015-02-23,20670.0,25566.0,28962.833333333332,25033.675675675677,20393.739481105596,27527.188675207584,18690.0,,20393.739481105596,20881.919595046027,22203.642718771058,22174.00600029402,20841.10796537933
store_1,2015-03-30,2015-03-23,33019.0,23788.0,26808.5,23708.31304347826,32432.327130528894,26609.817923907,30142.0,,32432.327130528894,23355.565442559164,29728.048351478632,29731.42855251453,31236.964951004295
store_1,2015-04-06,2015-03-23,19546.0,23788.0,26808.5,23628.626086956523,19298.34230746205,26609.817923907,23776.0,,19298.34230746205,20558.46947404651,23228.05341045635,22002.308038924824,21160.623776664328
store_1,2015-04-13,2015-03-23,27563.0,23788.0,26808.5,23548.93913043478,28901.220003932303,26609.817923907,31411.0,,28901.220003932303,23009.63957975344,28974.0126426131,28158.084804000224,29200.14205672934
store_1,2015-04-20,2015-03-23,20670.0,23788.0,26808.5,23469.252173913042,20401.822208125832,26609.817923907,18690.0,,20401.822208125832,19966.77032942084,21900.546710677612,21667.298596927605,20739.476519320575
store_1,2015-04-27,2015-03-23,28627.0,23788.0,26808.5,23389.565217391304,28110.92860411205,26609.817923907,29569.0,,28110.92860411205,22610.830249344333,28096.582176006348,27428.956290190436,28264.781005076304
store_1,2015-05-04,2015-03-23,29272.0,23788.0,26808.5,23309.878260869566,28047.011686287144,26609.817923907,31910.0,,28047.011686287144,22924.74398158053,28855.609870064713,27795.295801131622,28750.72294164568
store_1,2015-05-11,2015-03-23,19705.0,23788.0,26808.5,23230.191304347827,19111.503065365192,26609.817923907,22439.0,,19111.503065365192,20283.858899088573,22720.106996424063,21646.42350693491,20736.158247970423
store_1,2015-05-18,2015-03-23,27740.0,23788.0,26808.5,23150.50434782609,28090.535976703897,26609.817923907,28187.0,,28090.535976703897,22376.336892633855,27629.117966870297,27161.441332905368,27939.667542732037
store_1,2015-04-27,2015-04-20,28627.0,20670.0,26119.166666666668,20566.789915966387,28104.118989543407,25396.876740454223,29569.0,,28104.118989543407,21489.42175894724,27689.998576665872,26804.771235197008,28118.894046668804
store_1,2015-05-04,2015-04-20,29272.0,20670.0,26119.166666666668,20463.579831932773,28015.435300831574,25396.876740454223,31910.0,,28015.435300831574,21796.436934269317,28440.7706804286,27156.818789395264,28588.54249274987
store_1,2015-05-11,2015-04-20,19705.0,20670.0,26119.166666666668,20360.36974789916,19102.351559951803,25396.876740454223,22439.0,,19102.351559951803,19155.394959281693,22312.742766802006,21017.449973213254,20588.730613292377
store_1,2015-05-18,2015-04-20,27740.0,20670.0,26119.166666666668,20257.159663865546,28097.748725064535,25396.876740454223,28187.0,,28097.748725064535,21246.85025657871,27227.20848850625,26538.91532907804,27803.005575263192
store_1,2015-05-25,2015-04-20,22653.0,20670.0,26119.166666666668,20153.949579831933,21506.51293512569,25396.876740454223,22891.0,,21506.51293512569,19533.929417439787,23264.796558526636,22292.00621261047,22272.31775593329
store_1,2015-06-01,2015-04-20,26600.0,20670.0,26119.166666666668,20050.73949579832,27958.210085989034,25396.876740454223,32072.0,,27958.210085989034,21752.427569844032,28475.695608814418,27124.31074130808,28587.432973623854
store_1,2015-06-08,2015-04-20,23342.0,20670.0,26119.166666666668,19947.529411764706,22259.76862627526,25396.876740454223,21174.0,,22259.76862627526,19366.763063594408,22943.548455576492,22359.180677826913,22380.613552164483
store_1,2015-06-15,2015-04-20,27314.0,20670.0,26119.166666666668,19844.319327731093,27127.64403821181,25396.876740454223,26158.0,,27127.64403821181,20759.429539009114,26227.506926222006,25667.35723715599,26707.173325081712
store_1,2015-05-25,2015-05-18,22653.0,27740.0,26011.583333333332,27697.62601626016,21535.602063945636,25825.883696596757,22891.0,,21535.602063945636,21671.67073001941,23417.49525351413,23461.55191775955,22341.469301421374
store_1,2015-06-01,2015-05-18,26600.0,27740.0,26011.583333333332,27655.252032520326,28117.32868407932,25825.883696596757,32072.0,,28117.32868407932,23917.43539236139,28671.737460225355,28364.0862427901,28742.127924444347
store_1,2015-06-08,2015-05-18,23342.0,27740.0,26011.583333333332,27612.878048780487,22162.072403763923,25825.883696596757,21174.0,,22162.072403763923,21503.773926067784,23053.985366786892,23474.127572729878,22366.35592310156
store_1,2015-06-15,2015-05-18,27314.0,27740.0,26011.583333333332,27570.50406504065,27031.402075466598,25825.883696596757,26158.0,,27031.402075466598,22905.33902434819,26338.428590687785,26787.702481536966,26693.872420162403
store_1,2015-06-22,2015-05-18,21823.0,27740.0,26011.583333333332,27528.130081300813,22272.039923417848,25825.883696596757,22763.0,,22272.039923417848,21734.376719235534,23620.3078733382,23797.761591166134,22797.085633252027
store_1,2015-06-29,2015-05-18,31175.0,27740.0,26011.583333333332,27485.756097560974,30949.650218861178,25825.883696596757,29994.0,,30949.650218861178,24000.981906621746,28923.17797181931,29420.014454550404,30136.77316126948
store_1,2015-07-06,2015-05-18,23041.0,27740.0,26011.583333333332,27443.38211382114,23732.918196559232,25825.883696596757,24021.0,,23732.918196559232,22110.681048615777,24526.600631051995,24745.346420856757,24041.89448106484
store_1,2015-07-13,2015-05-18,28548.0,27740.0,26011.583333333332,27401.0081300813,30103.367040923535,25825.883696596757,29183.0,,30103.367040923535,23752.120314419273,28370.750245840096,28846.60040669492,29397.109143138125
store_10,2015-02-02,2015-01-26,44247.0,42446.0,42274.833333333336,42439.57943925234,45940.654434436394,38597.747015559886,45831.0,,45940.654434436394,36789.97346036885,43456.46714999876,44394.74977898008,45052.51626211754
store_10,2015-02-09,2015-01-26,34477.0,42446.0,42274.833333333336,42433.15887850467,32418.823237452976,38597.747015559886,31637.0,,32418.823237452976,32829.65178069298,34217.856751004285,35276.71661045955,32951.93132768952
store_10,2015-02-16,2015-01-26,41773.0,42446.0,42274.833333333336,42426.73831775701,42582.18089713475,38597.747015559886,42214.0,,42582.18089713475,35791.642794826425,41131.309304231545,42112.25443087032,42024.59768461731
store_10,2015-02-23,2015-01-26,34313.0,42446.0,42274.833333333336,42420.31775700935,33915.412652373314,38597.747015559886,33237.0,,33915.412652373314,33270.187251182266,35250.0532226444,36290.17117410641,34298.32968360581
store_10,2015-03-02,2015-01-26,45950.0,42446.0,42274.833333333336,42413.897196261685,47338.29747257147,38597.747015559886,45587.0,,47338.29747257147,36951.11071681805,43841.01482937711,45019.09164335439,45883.85454991294
store_10,2015-03-09,2015-01-26,35299.0,42446.0,42274.833333333336,42407.47663551402,34854.3832697143,38597.747015559886,30311.0,,34854.3832697143,32984.4914648745,34587.710095091395,36199.87136980834,34179.84794385927
store_10,2015-03-16,2015-01-26,44068.0,42446.0,42274.833333333336,42401.056074766355,44866.62435396045,38597.747015559886,42120.0,,44866.62435396045,36100.89439680286,41861.457123173444,43190.33568519585,43458.12955846871
store_10,2015-03-23,2015-01-26,35014.0,42446.0,42274.833333333336,42394.63551401869,34894.30749939656,38597.747015559886,34022.0,,34894.30749939656,33518.50333747263,35838.01817165215,36903.37365574885,35114.88401174878
store_10,2015-03-02,2015-02-23,45950.0,34313.0,39930.583333333336,34233.54054054054,47340.6585694764,38600.02426621155,45587.0,,47340.6585694764,34286.40095850883,43842.560945229314,43508.436469454595,45885.62709853582
store_10,2015-03-09,2015-02-23,35299.0,34313.0,39930.583333333336,34154.08108108108,34866.6782150334,38600.02426621155,30311.0,,34866.6782150334,30310.766699379907,34592.56749374831,34688.15020203862,34187.954359815354
store_10,2015-03-16,2015-02-23,44068.0,34313.0,39930.583333333336,34074.62162162162,44872.52668386491,38600.02426621155,42120.0,,44872.52668386491,33415.82227214734,41864.18365002549,41669.70495093818,43462.16001350206
store_10,2015-03-23,2015-02-23,35014.0,34313.0,39930.583333333336,33995.16216216216,34893.54127365222,38600.02426621155,34022.0,,34893.54127365222,30822.044433622752,35838.521846621254,35373.70078757848,35114.66256509986
store_10,2015-03-30,2015-02-23,52685.0,34313.0,39930.583333333336,33915.7027027027,50371.13483235137,38600.02426621155,45017.0,,50371.13483235137,34592.49216208556,44662.71969952097,44833.665919847095,47678.16350487561
store_10,2015-04-06,2015-02-23,28742.0,34313.0,39930.583333333336,33836.24324324324,29019.2129412695,38600.02426621155,33555.0,,29019.2129412695,29893.4376834368,33724.74573582702,32452.60236793041,31254.70039047101
store_10,2015-04-13,2015-02-23,43910.0,34313.0,39930.583333333336,33756.78378378379,45377.22869552026,38600.02426621155,45641.0,,45377.22869552026,33945.51715412128,43206.08432057727,42537.02675243828,44646.970806249796
store_10,2015-04-20,2015-02-23,32842.0,34313.0,39930.583333333336,33677.32432432433,33495.19053242041,38600.02426621155,25024.0,,33495.19053242041,29291.44606518423,32373.071599543982,33014.744728523045,32017.623737804865
store_10,2015-03-30,2015-03-23,52685.0,35014.0,39506.666666666664,34943.4,50333.59689975907,38645.57044127683,45017.0,,50333.59689975907,34780.03342967179,44665.38911367863,44922.049462849085,47659.57133113218
store_10,2015-04-06,2015-03-23,28742.0,35014.0,39506.666666666664,34872.8,29004.12827573214,38645.57044127683,33555.0,,29004.12827573214,30085.452197667946,33734.89957233632,32552.481114964034,31250.424522835114
store_10,2015-04-13,2015-03-23,43910.0,35014.0,39506.666666666664,34802.2,45354.26173335005,38645.57044127683,45641.0,,45354.26173335005,34137.671263041935,43213.61072487562,42633.82686809196,44637.669150110596
store_10,2015-04-20,2015-03-23,32842.0,35014.0,39506.666666666664,34731.6,33454.11572822676,38645.57044127683,25024.0,,33454.11572822676,29482.27897659575,32374.562056501192,33103.5536482224,31996.77643849846
store_10,2015-04-27,2015-03-23,45832.0,35014.0,39506.666666666664,34661.0,42914.68244446114,38645.57044127683,42611.0,,42914.68244446114,33336.13136462923,41390.41762857932,40890.93424519679,42339.517691667184
store_10,2015-05-04,2015-03-23,46521.0,35014.0,39506.666666666664,34590.4,45010.749253166636,38645.57044127683,44773.0,,45010.749253166636,33934.34090873002,42809.77323148115,42291.56349727683,44205.89391943344
store_10,2015-05-11,2015-03-23,31975.0,35014.0,39506.666666666664,34519.8,30824.55837884087,38645.57044127683,31215.0,,30824.55837884087,29960.79935525491,33561.7096067059,32966.68451982,31837.596221904336
store_10,2015-05-18,2015-03-23,42326.0,35014.0,39506.666666666664,34449.2,41654.73102203664,38645.57044127683,39851.0,,41654.73102203664,32731.59544714002,40050.43382110449,39758.97956677229,40859.680399510915
store_10,2015-04-27,2015-04-20,45832.0,32842.0,39443.333333333336,32755.52100840336,43032.306509034985,38684.843894193014,42611.0,,43032.306509034985,32767.0006778521,41442.716801076,40617.7272124092,42419.12178162489
store_10,2015-05-04,2015-04-20,46521.0,32842.0,39443.333333333336,32669.04201680672,44995.67075844859,38684.843894193014,44773.0,,44995.67075844859,33343.98428611166,42817.8382175472,41953.33409684491,44200.88624864262
store_10,2015-05-11,2015-04-20,31975.0,32842.0,39443.333333333336,32582.563025210085,30820.905715445115,38684.843894193014,31215.0,,30820.905715445115,29369.806566883075,33573.58320321271,32632.675026737117,31839.873713595345
store_10,2015-05-18,2015-04-20,42326.0,32842.0,39443.333333333336,32496.084033613446,41676.3671064798,38684.843894193014,39851.0,,41676.3671064798,32141.946909659942,40070.73700022427,39435.85001431545,40878.08211286874
store_10,2015-05-25,2015-04-20,35550.0,32842.0,39443.333333333336,32409.605042016807,32771.13850616039,38684.843894193014,32771.0,,32771.13850616039,29845.988682243362,34742.32746678447,33843.144302662506,33464.732600462754
store_10,2015-06-01,2015-04-20,48375.0,32842.0,39443.333333333336,32323.126050420167,46995.61253084343,38684.843894193014,45157.0,,46995.61253084343,33635.13082982713,43612.485475012145,42957.413844436276,45570.178158615134
store_10,2015-06-08,2015-04-20,34310.0,32842.0,39443.333333333336,32236.647058823528,31573.275877022897,38684.843894193014,29955.0,,31573.275877022897,29247.871451910396,33404.37325707197,32733.781145354653,32010.75759510858
store_10,2015-06-15,2015-04-20,44493.0,32842.0,39443.333333333336,32150.168067226892,44076.74396862594,38684.843894193014,44066.0,,44076.74396862594,33037.584180482736,42275.862620939646,41339.8170515553,43441.68592522623
store_10,2015-05-25,2015-05-18,35550.0,42326.0,40430.333333333336,42319.439024390245,32632.338413366444,38766.34315854041,32771.0,,32632.338413366444,32749.350561375773,34723.22719063562,35426.55252264617,33385.79220453176
store_10,2015-06-01,2015-05-18,48375.0,42326.0,40430.333333333336,42312.87804878049,48084.73664376778,38766.34315854041,45157.0,,48084.73664376778,36725.32731206028,44002.69326743606,45137.13068768726,46274.16787093488
store_10,2015-06-08,2015-05-18,34310.0,42326.0,40430.333333333336,42306.31707317073,33562.19323361566,38766.34315854041,29955.0,,33562.19323361566,32478.026685522877,34094.51213071869,35352.16567651475,33288.45960855239
store_10,2015-06-15,2015-05-18,44493.0,42326.0,40430.333333333336,42299.756097560974,44663.28636739749,38766.34315854041,44066.0,,44663.28636739749,36078.81699383317,42498.54317531263,43290.85980913521,43825.22723036085
store_10,2015-06-22,2015-05-18,33625.0,42326.0,40430.333333333336,42293.19512195122,33766.02431391006,38766.34315854041,34683.0,,33766.02431391006,33180.69941824786,35738.45582415015,36322.20956294384,34577.27399949283
store_10,2015-06-29,2015-05-18,48849.0,42326.0,40430.333333333336,42286.634146341465,47575.158943031776,38766.34315854041,45864.0,,47575.158943031776,36749.781368749565,44068.50070052406,45020.79006064208,46122.547176065775
store_10,2015-07-06,2015-05-18,34122.0,42326.0,40430.333333333336,42280.07317073171,34552.22990933132,38766.34315854041,35790.0,,34552.22990933132,33449.28279599096,36369.52435595724,36903.311172158814,35349.89219968699
store_10,2015-07-13,2015-05-18,48072.0,42326.0,40430.333333333336,42273.51219512195,46439.52863853441,38766.34315854041,42255.0,,46439.52863853441,36070.10247507573,42486.957265691606,43807.649803527835,44513.88447434666
store_11,2015-02-02,2015-01-26,52899.0,51237.0,49188.916666666664,51291.97196261682,49738.6809615274,47963.00152882413,51312.0,,49738.6809615274,42961.65301709071,50079.86587606469,50027.44990086347,50023.57408264781
store_11,2015-02-09,2015-01-26,41481.0,51237.0,49188.916666666664,51346.943925233645,42260.11061510269,48038.12202175266,39508.0,,42260.11061510269,40225.58474696509,43652.34242725645,44727.78959517658,42646.66196090183
store_11,2015-02-16,2015-01-26,47036.0,51237.0,49188.916666666664,51401.91588785047,43148.393412822435,48113.24251468118,47742.0,,43148.393412822435,41547.35264028868,46693.1033598297,46517.1920000115,45114.0085498399
store_11,2015-02-23,2015-01-26,40567.0,51237.0,49188.916666666664,51456.88785046729,39591.53055995557,48188.36300760971,40885.0,,39591.53055995557,40078.24258352846,43221.815742207415,43794.792205638514,41316.02079006171
