unique_id,metric,Naive,WindowAverage,RWD,AutoARIMA,AutoETS,SeasonalNaive,SeasWA,Best-Fit,Equal-All,Equal-Best3,InverseMSE,InverseMSE-Best3
store_1,mse,35359850.73611111,27608316.147569444,42127865.68858278,1308087.468311971,30632312.887949605,29050321.194444444,,1308087.468311971,37509628.32016,10654014.649173105,2117913.0156857115,1491450.9159889908
store_10,mse,100534924.04166667,66356843.824652776,114957374.67685784,2985244.2040388356,62607743.72424669,61592856.73611111,,2985244.2040388356,94414537.03233604,25523267.5607145,5518423.68633014,3817132.451789953
store_11,mse,110963211.44444445,71991138.28645833,129831295.74098092,5595867.50561018,71804879.2692203,77287175.44444445,,5595867.50561018,110951471.87203854,35978252.69459852,10127575.318904465,7494386.154222258
store_12,mse,105926232.30555555,62178847.74305555,124519818.36442788,3249154.1613382963,60195882.68412536,63425337.25,,3249154.1613382963,88767563.65618703,29908646.095340703,5462815.057121152,4261598.872012649
store_13,mse,140805176.3888889,77061629.234375,166749157.81213054,3347971.743060747,74302868.58943719,97449380.6111111,,3347971.743060747,85790901.05427055,36873589.31440368,5730242.944925237,4399972.576372051
store_14,mse,104247204.625,66009320.15625,119396906.91974139,1896284.207604279,62988175.76053181,65563495.625,,1896284.207604279,74449413.08279553,25291962.698708702,3333923.8525771615,2369309.763728482
store_15,mse,234011510.4027778,143859639.47743055,272215884.8614201,9618849.241691936,141025965.2901738,152823323.1388889,,9618849.241691936,202065775.83931708,72681634.07575192,18301523.360754855,13570330.482180445
store_16,mse,414333563.3333333,227103083.1232639,479273330.06169224,31041077.818322763,184066495.9746571,248094137.4027778,,31041077.818322763,215737771.2046284,83074174.34780532,32159413.238604903,21155581.446373697
store_17,mse,308431310.3611111,199318711.2465278,373471736.3928988,6497199.091784583,193950204.34472838,214001715.2222222,,6497199.091784583,242766966.73138273,92995979.90995982,9842656.068511002,7876257.944865016
store_18,mse,154300915.6527778,91999975.86284722,176840809.61651126,3763618.5695969462,91494322.947282,117070596.0138889,,3763618.5695969462,124058063.18854594,44827613.2475178,6290330.347082446,4947672.627980519
store_19,mse,81228354.69444445,45409601.85243055,95847882.63217378,3682075.029376608,45523638.60471764,72763899.2638889,,3682075.029376608,50646088.11357945,19645232.823662363,3492127.7587315035,3204413.5355566205
store_2,mse,159179180.4722222,97423737.01909722,194514232.09126157,3594911.236391323,92085427.64959925,114987148.18055555,,3594911.236391323,118850633.63165464,43506542.78810951,4695586.842841678,3923278.8798212484
store_20,mse,71723723.90277778,51541893.46006945,82784261.85219629,3633051.155042595,50300521.57400981,46392967.166666664,,3633051.155042595,70962910.24178037,21145246.42865316,7529667.556534209,4942502.62941741
store_21,mse,120516479.19444445,58787467.91493055,147656874.12033474,3757892.807831678,57609546.713657014,75946193.81944445,,3757892.807831678,94812133.61665794,28204176.6123533,5602317.557816259,4687051.404964607
store_22,mse,314529115.1666667,186330404.38541666,373353232.3592438,9260781.02367803,188493084.9180064,208048394.05555555,,9260781.02367803,252110270.1223701,92858496.76550922,16723661.224290384,12777695.517845837
store_23,mse,132395359.7361111,74708651.8454861,151949565.78242868,3116063.4827894033,72867521.74372762,94994497.93055555,,3116063.4827894033,85250992.6510448,35459189.98660429,5010507.107517627,3921643.9066246874
store_24,mse,109703056.375,72410883.05208333,124408089.99605717,1875821.451056316,59290713.89868559,62089948.027777776,,1875821.451056316,62163260.069214925,23170904.921454463,2600102.0360244475,2151308.803875098
store_25,mse,43027100.375,34836066.72048611,49215942.19109704,968907.6701798779,33591061.38737912,43389938.13888889,,968907.6701798779,41016758.107002586,15774264.500819882,1315084.7202937305,1093689.0849241365
store_26,mse,238160088.2361111,153013591.4548611,281435393.5248555,10226081.114466073,156149736.31169665,152251506.7638889,,10226081.114466073,214470211.32831582,63125336.85983707,18294395.918446615,12750416.131704886
store_27,mse,117918611.18055555,70691732.9548611,141534628.30891785,1735265.0886745679,69289901.9103087,89711637.5138889,,1735265.0886745679,83668644.35537899,31761678.455925126,2129183.5327355172,1891355.256476786
store_28,mse,70103907.05555555,45301351.246527776,79373199.32470804,1419509.830248632,42925080.08824262,47795936.19444445,,1419509.830248632,61489165.20724879,21074936.168312833,2392534.5873910673,1780709.8828574633
store_29,mse,104333119.40277778,68502143.7951389,125905031.47948755,3520572.5976952855,71335125.93292707,72804267.5,,3520572.5976952855,100918910.53024338,34714745.267278686,6444250.283091368,4899281.063339023
store_3,mse,185698111.4027778,129055006.85069445,214274360.80664697,10851801.796721831,153341039.846966,112083934.3611111,,10851801.796721831,163120293.83895028,50276416.842365585,19988959.427593682,14315510.968949206
store_30,mse,26443741.75,16669343.013888888,30676549.050995342,1082524.954419557,17061023.5255477,21492450.888888888,,1082524.954419557,21942839.11088071,8419319.23478634,1908042.8810199446,1462081.0605475418
store_31,mse,115928068.94444445,87743396.58680555,129202573.38945124,2687229.237643793,86611538.13405816,88447609.05555555,,2687229.237643793,118954288.97122204,42313885.846082374,4709760.868800948,3582313.48155682
store_32,mse,59672138.98611111,35897112.175347224,68677161.42909145,1108030.3099214425,34941289.73402343,34845017.76388889,,1108030.3099214425,44946932.36364856,14054587.086052228,1946466.9579354695,1396534.3057048505
store_33,mse,65478101.652777776,54255602.28125,73118203.54195857,4185293.033234442,50224860.77417779,46867161.291666664,,4185293.033234442,67108216.52479597,21557534.196770016,8854901.07634921,5728824.821961392
store_34,mse,74321535.375,56885031.309027776,83574305.38215217,3624118.2989268852,60610510.63341595,90880776.33333333,,3624118.2989268852,96517258.6881668,30338350.441392455,7398569.562415585,5381788.1165823415
store_35,mse,42893243.541666664,30581652.541666668,48201929.0971027,2438598.8609632994,31190396.154491886,42603473.833333336,,2438598.8609632994,46619702.47990682,15437560.837397542,4684237.183327764,3332958.1156947115
store_36,mse,73320004.06944445,43218108.215277776,85582646.69980541,1587456.270291257,42994576.43643853,50397949.166666664,,1587456.270291257,65471981.313918896,20209460.760285407,2148571.032523146,1852118.2357425645
store_37,mse,140021743.80555555,90046985.60069445,158757663.04099187,4266396.58211899,93374942.54445319,90703955.19444445,,4266396.58211899,118010765.08488305,37636378.839283496,8078969.862432001,5700429.067334729
store_38,mse,274202484.0694444,167698375.78993055,306619540.38210696,7138579.480008241,177202427.6203432,200281922.20833334,,7138579.480008241,247354120.30128044,84704698.75751582,13744960.690206869,9882750.455903761
store_39,mse,48957989.06944445,34216220.87673611,59127394.82334419,1924896.7460645123,30167798.24227214,32141628.847222224,,1924896.7460645123,56355941.0450471,12949376.667097855,3547583.195825322,2461684.5988202044
store_4,mse,82241600.97222222,51404386.57638889,93887555.92919338,2724357.933121624,57488286.96263006,74074750.79166667,,2724357.933121624,71409981.47544563,25584730.51795786,4208770.593012277,3313968.706989492
store_40,mse,152358141.4722222,94475767.8888889,180967686.8923239,3815514.225893393,92459108.19806133,102359069.0,,3815514.225893393,117653873.45154577,44239446.808953315,5622176.268206939,4617498.400667149
store_41,mse,118956806.95833333,106971875.02430555,124969955.28193723,9454135.782388896,107735326.61236331,94530725.41666667,,9454135.782388896,148505652.46587175,45909174.61169128,20262422.027775697,13164019.489038598
store_42,mse,185986348.7361111,133161441.52604167,216216567.00625253,4645211.177190263,120041791.83478233,126769673.0138889,,4645211.177190263,175713537.0048551,48344933.1904198,7589105.702681141,5459438.139348964
