unique_id,ds,RandomForestRegressor
store_1,2015-05-17,28295.76147669895
store_1,2015-05-24,24890.346108103142
store_1,2015-05-31,29872.726439825976
store_1,2015-06-07,26914.72457690838
store_1,2015-06-14,30436.511173487208
store_1,2015-06-21,30108.677217245364
store_1,2015-06-28,32022.949395868727
store_1,2015-07-05,32752.81881856071
store_10,2015-05-17,44448.215018181094
store_10,2015-05-24,39295.79024162063
store_10,2015-05-31,45677.15686322325
store_10,2015-06-07,40364.22766815958
store_10,2015-06-14,51215.4093820716
store_10,2015-06-21,43767.71385766974
store_10,2015-06-28,54076.79422347677
store_10,2015-07-05,48129.744623732986
store_11,2015-05-17,49981.73673263736
store_11,2015-05-24,45916.0719158198
store_11,2015-05-31,52035.696971505415
store_11,2015-06-07,47244.37218580075
store_11,2015-06-14,56947.317624576746
store_11,2015-06-21,50942.94813096199
store_11,2015-06-28,59361.86195000043
store_11,2015-07-05,54527.81821909019
store_12,2015-05-17,43128.1167651357
store_12,2015-05-24,38728.65180689087
store_12,2015-05-31,44403.45678940307
store_12,2015-06-07,39411.07446133195
store_12,2015-06-14,49416.170380021365
store_12,2015-06-21,42920.359083574
store_12,2015-06-28,51739.90211798795
store_12,2015-07-05,46610.58596531199
store_13,2015-05-17,36193.39926875197
store_13,2015-05-24,31117.07031806722
store_13,2015-05-31,36821.7123691396
store_13,2015-06-07,31822.04291062757
store_13,2015-06-14,42220.22338641176
store_13,2015-06-21,35255.36154738716
store_13,2015-06-28,44514.47983745039
store_13,2015-07-05,39146.086356176056
store_14,2015-05-17,35714.69347983875
store_14,2015-05-24,30814.860763444893
store_14,2015-05-31,38000.552418658095
store_14,2015-06-07,32641.722251307336
store_14,2015-06-14,43499.960878653226
store_14,2015-06-21,36472.33775340952
store_14,2015-06-28,45856.81015794626
store_14,2015-07-05,40292.88664359151
store_15,2015-05-17,62169.090003528756
store_15,2015-05-24,55517.27805214414
store_15,2015-05-31,58787.52367045332
store_15,2015-06-07,55827.598470855024
store_15,2015-06-14,59709.87237226247
store_15,2015-06-21,58602.390420741656
store_15,2015-06-28,60933.13926051709
store_15,2015-07-05,61691.03199069115
store_16,2015-05-17,68721.486146154
store_16,2015-05-24,62811.35014014996
store_16,2015-05-31,67374.07435028614
store_16,2015-06-07,63165.94209824421
store_16,2015-06-14,72512.70588102071
store_16,2015-06-21,66401.89113905947
store_16,2015-06-28,74667.38313575028
store_16,2015-07-05,69896.76120865135
store_17,2015-05-17,59075.5685572677
store_17,2015-05-24,53190.222874961946
store_17,2015-05-31,56093.58265304917
store_17,2015-06-07,54324.11964347886
store_17,2015-06-14,57566.33282818083
store_17,2015-06-21,57354.238688481295
store_17,2015-06-28,59013.151595129704
store_17,2015-07-05,59765.15944441155
store_18,2015-05-17,54563.92972924677
store_18,2015-05-24,47707.80364205157
store_18,2015-05-31,51558.450988158715
store_18,2015-06-07,47598.61699653814
store_18,2015-06-14,57372.26466495461
store_18,2015-06-21,50685.30548674658
store_18,2015-06-28,60449.752433490765
store_18,2015-07-05,54676.192309736296
store_19,2015-05-17,28502.661586482893
